kid,schlag ,k.typ,ko.a,ko.d,w.t,w.b,k.z,block,aves,mamm,invert,fl.kot,q.typ,fl.art,fl.ges,fl.m,fl.w,fl.ad,fl.juv
bb009,bb,mk,10,4,21,b,i,n,m,n,hon,1,5,M.nattereri,15,NA,NA,NA,NA
bb009,bb,mk,11,2,19,b,sb,n,m,n,n,1,5,M.daubentonii,8,NA,NA,NA,NA
bb010,bb,mk,10,4,21,b,i,n,m,n,n,0,0,n,0,0,0,0,0
bb010,bb,mk,11,2,19,b,lb,n,k,n,n,1,0,n,0,0,0,0,0
bb011,bb,mk,10,4,21,b,i,n,m,n,n,0,0,n,0,0,0,0,0
bb011,bb,mk,11,2,19,b,sb,n,n,n,nv.w,1,0,n,0,0,0,0,0
bb012,bb,bgk,10,4,21,b,i,n,k,n,n,1,5,M.nattereri,8,NA,NA,NA,NA
bb012,bb,bgk,11,2,19,b,i,n,k,n,n,1,5,M.daubentonii,15,NA,NA,NA,NA
bb013,bb,bgk,10,4,21,b,i,n,k.m,n,n,0,0,n,0,0,0,0,0
bb013,bb,bgk,11,2,19,b,lb,n,k,n,n,1,5,M.nattereri,6,NA,NA,3,3
bb014,bb,bgk,11,1,27,s,lb,n,k,n,n,1,5,Pip.pygmaeus,1,1,0,0,1
bb016,bb,dk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
bb017,bb,bgk,10,4,21,b,i,n,m.k,n,n,0,0,n,0,0,0,0,0
bb017,bb,bgk,11,1,27,s,i,n,m,n,n,1,0,n,0,0,0,0,0
bb018,bb,bgk,11,2,19,b,lb,n,m,n,n,1,0,n,0,0,0,0,0
bb019,bb,bgk,10,4,21,b,i,n,m.k,n,n,0,0,n,0,0,0,0,0
bb019,bb,bgk,11,2,19,b,i,n,m,n,n,1,0,n,0,0,0,0,0
bk001,bk,mk,11,1,27,s,lb,n,k,n,n,1,5,M.nattereri,3,NA,NA,2,1
bk002,bk,mk,11,1,27,s,sb,n,nv.m,n,s,1,0,n,0,0,0,0,0
bk003,bk,mk,11,1,27,s,lb,n,m,n,n,1,0,n,0,0,0,0,0
bk004,bk,mk,11,1,27,s,sb,n,m,n,n,1,0,n,0,0,0,0,0
